Dalvik/1.6.0 (Linux; U; Android 4.4.2; Tab2A7-10F Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; Tab2A7-20F Build/KOT49H)
Dalvik/1.6.0 (Linux; U; Android 4.4.2; V11 Build/KVT49L)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; G620S-L01 Build/HuaweiG620S-L01)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; GT-I9060I Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; GT-I9305 Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; L-EMENT 741 Build/KTU84Q)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; LIFETAB_E723X Build/KTU84Q)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; MID2809 Build/KTU84Q)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; RIDGE 4G Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; RIDGE FAB 4G Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-A300FU Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-G318H Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-G357FZ Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-G360BT Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-G530BT Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-G530FZ Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-G530H Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-J100H Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-T113 Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-T113NU Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-T116 Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-T116BU Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-T337T Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-T537V Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-T560 Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; SM-T561 Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; Vodafone 890N Build/KTU84P)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; XT1032 Build/KXB21.14-L1.40)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; Y635-L01 Build/HuaweiY635-L01)
Dalvik/1.6.0 (Linux; U; Android 4.4.4; eZee'Tab10Q12-XS Build/KTU84Q)
Dalvik/2.1.0 (Linux; U; Android 5.0.1; ALE-L21 Build/HuaweiALE-L21)
Dalvik/2.1.0 (Linux; U; Android 5.0.1; B1-770 Build/LRX21M)
Dalvik/2.1.0 (Linux; U; Android 5.0.1; GT-I9500 Build/LRX22C)
Dalvik/2.1.0 (Linux; U; Android 5.0.1; GT-I9505 Build/LRX22C)
Dalvik/2.1.0 (Linux; U; Android 5.0.1; GT-I9515 Build/LRX22C)
Dalvik/2.1.0 (Linux; U; Android 5.0.1; SHV-E330L Build/LRX22C)
Dalvik/2.1.0 (Linux; U; Android 5.0.2; ASUS_Z00ED Build/LRX22G)
Dalvik/2.1.0 (Linux; U; Android 5.0.2; HTC One Build/LRX22G)
Dalvik/2.1.0 (Linux; U; Android 5.0.2; LG-D722 Build/LRX22G.A1440040099)
Dalvik/2.1.0 (Linux; U; Android 5.0.2; Lenovo TAB 2 A8-50F Build/LRX22G)
Dalvik/2.1.0 (Linux; U; Android 5.0.2; P01Z Build/LRX22G)
Dalvik/2.1.0 (Linux; U; Android 5.0.2; P023 Build/LRX22G)
Dalvik/2.1.0 (Linux; U; Android 5.0.2; PLK-L01 Build/HONORPLK-L01)
Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-A300F Build/LRX22G)
Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-A300FU Build/LRX22G)
Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-G360BT Build/LRX22G)
Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-G360F Build/LRX22G)
Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-G530FZ Build/LRX22G)
Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-G901F Build/LRX22G)
Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-G920F Build/LRX22G)
Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-T530 Build/LRX22G)
Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-T550 Build/LRX22G)
Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-T555 Build/LRX22G)
Dalvik/2.1.0 (Linux; U; Android 5.0.2; VF-895N Build/LRX22G)
Dalvik/2.1.0 (Linux; U; Android 5.0; ASUS_Z00AD Build/LRX21V)
Dalvik/2.1.0 (Linux; U; Android 5.0; Lenovo A1000 Build/S100)
Dalvik/2.1.0 (Linux; U; Android 5.0; SAMSUNG-SM-G900AZ Build/LRX21T)
Dalvik/2.1.0 (Linux; U; Android 5.0; SM-G900F Build/LRX21T)
Dalvik/2.1.0 (Linux; U; Android 5.0; SM-G900M Build/LRX21T)
Dalvik/2.1.0 (Linux; U; Android 5.0; SM-G900V Build/LRX21T)
Dalvik/2.1.0 (Linux; U; Android 5.0; SM-N9005 Build/LRX21V)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; D5803 Build/23.4.A.1.200)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; DSlide904 Build/LMY47V)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; HUAWEI P7-L10 Build/HuaweiP7-L10)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; HUAWEI Y560-L01 Build/HUAWEIY560-L01)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; Hisense L678 Build/LMY47V)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; Nexus 10 Build/LMY49J)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; Nexus 7 Build/LMY47V)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; RAINBOW LITE 4G Build/LMY47V)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-G361F Build/LMY48B)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-G531F Build/LMY48B)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-G531H Build/LMY48B)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-J105M Build/LMY47V)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-J320F Build/LMY47V)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-J320M Build/LMY47V)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-J500F Build/LMY48B)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-J500FN Build/LMY48B)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-J500M Build/LMY48B)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-J700M Build/LMY48B)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N910F Build/LMY47X)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N910T Build/LMY47X)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-T280 Build/LMY47V)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; Viva_C701 Build/LMY47V)
Dalvik/2.1.0 (Linux; U; Android 5.1.1; Wileyfox Swift Build/LMY48B)
Dalvik/2.1.0 (Linux; U; Android 5.1; 5015D Build/LMY47I)
Dalvik/2.1.0 (Linux; U; Android 5.1; B3-A20 Build/LMY47I)
Dalvik/2.1.0 (Linux; U; Android 5.1; FEVER Build/LMY47D)
Dalvik/2.1.0 (Linux; U; Android 5.1; HUAWEI TIT-U02 Build/HUAWEITIT-U02)
Dalvik/2.1.0 (Linux; U; Android 5.1; L-ITE 552 Build/LMY47D)
Dalvik/2.1.0 (Linux; U; Android 5.1; MS50B11000 Build/LMY47D)
Dalvik/2.1.0 (Linux; U; Android 5.1; Rook from EE Build/LMY47D)
Dalvik/2.1.0 (Linux; U; Android 5.1; T72HM3G Build/LMY47I)
